01 34 11 +30 40 32 N 598 Gx 5.7
03 44 49 +32 17 56 I 348 +N 7.3
05 52 44 +32 33 03 N 2099 OC 5.6
05 23 02 +33 24 16 N 1893 OC 7.5
05 36 26 +34 08 10 N 1960 OC 6.0
05 28 20 +35 19 14 N 1907 OC 8.2
05 29 02 +35 50 14 N 1912 OC 6.4
01 58 06 +37 42 27 N 752 OC 5.7
03 31 55 +37 21 00 N 1342 OC 6.7
05 08 26 +37 03 23 N 1778 OC 7.7
05 20 33 +39 21 17 N 1857 OC 7.0
00 42 58 +40 53 38 N 221 Gx 8.2
00 40 40 +41 42 39 N 205 Gx 8.0
00 42 58 +41 17 38 N 224 Gx 3.5
06 49 39 +41 03 39 N 2281 OC 5.4
02 42 19 +42 48 16 N 1039 OC 5.2
04 32 21 +43 51 38 N 1582 OC 7.0
04 51 27 +43 42 30 N 1664 OC 7.6
03 15 03 +47 16 06 N 1245 OC 8.4
04 10 22 +49 31 46 N 1513 OC 8.4
04 21 17 +50 15 42 N 1545 OC 6.2
04 15 47 +51 14 44 N 1528 OC 6.4
03 49 47 +52 40 54 N 1444 OC 6.6
01 58 44 +55 30 27 N 744 OC 7.9
00 53 06 +56 38 38 N 281 +N 7.0
02 19 21 +57 10 22 N 869 OC 4.0
02 22 45 +57 08 21 N 884 OC 4.0
02 33 58 +57 33 19 N 957 OC 7.6
01 15 55 +58 50 35 N 436 OC 8.8
01 19 25 +58 21 34 N 457 OC 6.4
00 30 11 +60 15 39 N 129 OC 6.5
01 33 32 +60 43 32 N 581 OC 7.4
01 44 33 +60 43 30 N 659 OC 7.9
02 51 35 +60 27 14 I 1848 +N 6.5
00 39 53 +61 05 39 N 189 OC 8.8
00 43 42 +61 48 38 N 225 OC 7.0
01 44 27 +61 54 30 N 654 OC 6.5
01 46 21 +61 16 30 N 663 OC 7.1
02 33 05 +61 28 19 I 1805 +N 6.5
02 43 05 +61 34 16 N 1027 OC 6.7
04 08 09 +62 20 47 N 1502 OC 5.7
01 43 15 +64 01 30 N 637 OC 8.2
07 37 23 +65 35 19 N 2403 Gx 8.4
00 44 31 +85 21 38 N 188 OC 8.1
