02 25 57 +50 18 04 65 And 6.5 .0 4.71
17 37 41 -43 00 01 SARGAS 2.0 -.3 1.86
17 15 14 +24 50 01 SARIN -1.5 -.5 3.11
22 54 55 -15 47 39 SCHEAT -.0 .0 3.25
00 40 47 +56 33 53 SCHEDAR 7.0 .3 2.22
01 54 55 +20 49 56 SHARATAN 6.6 .5 2.64
17 33 57 -37 06 26 SHAULA -7.3 -.1 1.63
18 50 16 +33 22 08 SHELIAK 2.58 -.4 3.63
01 54 55 +20 49 56 SHERATAN -6.20 .4 2.64
06 45 22 -16 43 12 SIRIUS 1.6 -.2 1.09
13 25 28 -11 11 14 SPICA -6.5 -.1 1.05
09 08 11 -43 27 10 SUHAIL -3.8 .3 2.18
19 46 30 +10 37 33 TARAZED -6.3 -.3 2.68
14 04 31 +64 21 07 THUBAN 4.7 .1 3.64
15 44 31 +06 24 06 UNUKALHA .1 .4 2.61
18 37 06 +38 47 18 VEGA 5.9 .3 .09
13 02 26 +10 55 56 VINDEMIA -7.1 0.0 2.81
07 20 25 +21 58 23 WASAT 6.6 .2 3.52
07 08 35 -26 24 04 WEZEN 7.3 .5 1.83
03 58 16 -13 29 40 ZAURAK -3.3 .1 2.94
11 50 57 +01 44 12 ZAVIJAVA -1.1 -.1 3.59
11 14 23 +20 29 47 ZOSMA -6.8 -.2 2.53
14 51 10 -16 03 45 UBENELG -4.7 -.4 2.72
