15 53 55 -25 20 31 2 Sco
17 51 12 -33 42 24 RY Sco
17 51 32 -30 33 29 HR 6645
17 51 38 -34 10 16 CCDM 17513-3410
17 52 15 -35 05 02 HD 162306
17 54 12 -32 28 44 HD 162722
17 54 18 -38 56 59 HD 162657
17 56 04 -30 34 20 HD 163106
17 57 12 -39 55 59 HD 163195
17 57 24 -40 07 17 HD 163233
17 58 17 -36 00 30 HD 163482
17 58 44 -40 09 05 HD 324755
17 58 50 -44 58 41 HD 163457
