09 26 10 -76 39 18 NGC 2915 GALXY12.7
10 03 44 -80 26 28 NGC 3149 UVSOB
10 09 26 -80 53 29 NGC 3195 PLNNB
11 09 39 -77 17 38 Be 142 DRKNB
11 16 16 -76 14 38 NGC 3620 UVSOB
12 59 29 -77 11 37 Sa 156 DRKNB
