23 15 31 +18 58 38 A 99 12.2m NGC 7550
00 28 53 -11 32 21 A100 15.0m IC 0018
16 04 45 +14 48 12 A101 14.7m UGC 10169
17 19 29 +49 01 42 A102 14.9m UGC 10814B
16 49 42 +45 28 30 A103 14.6m UGC 10586
13 32 20 +62 44 28 A104 12.3m NGC 5218
11 11 29 +28 39 22 A105 15.0m NGC 3561
12 15 50 +28 08 20 A106 13.6m NGC 4211
10 52 38 +30 03 24 A107 14.6m UGC 05984
03 03 20 -22 10 50 A108 14.0m ESO 547-G003
15 47 50 +69 27 05 A109 15.0m UGC 10053
22 54 24 -15 12 24 A110 15.9m MCG-03-58-011
14 01 53 +33 47 34 A111 13.4m NGC 5421
00 01 41 +31 27 40 A112 13.3m NGC 7805
00 18 38 +30 05 40 A113 14.5m NGC 0070
07 33 57 +85 41 21 A114 12.1m NGC 2300
11 43 18 +26 14 20 A115 15.5m UGC 06678A
12 43 54 +11 31 22 A116 8.8 m MESSIER 60
14 10 18 +17 42 35 A117 14.3m IC 0983
02 55 26 -00 08 48 A118 12.9m NGC 1144
01 19 40 +12 27 34 A119 14.7m UGC 00849
12 28 00 +12 58 21 A120 10.1m NGC 4438
00 59 38 -04 46 23 A121 14.5m MCG-01-03-051
16 04 40 +17 44 12 A122 13.6m NGC 6040A
05 22 46 -11 28 44 A123 12.0m NGC 1888
17 18 44 +60 35 42 A124 13.1m NGC 6361
16 38 23 +41 54 25 A125 13.6m UGC 10491
01 58 21 +03 06 27 A126 13.9m UGC 01449
00 39 14 -08 58 21 A127 12.5m NGC 0191
01 17 40 +14 42 35 A128 15.4m UGC 00827
09 39 42 +32 19 38 A129 14.0m UGC 05146
00 02 52 +16 39 40 A130 15.3m IC 5378
02 47 33 -14 46 45 A131 14.5m MCG-03-08-25
11 19 36 -03 06 39 A132 15.5m CGCG 011-053
01 25 59 -01 20 27 A133 12.1m NGC 0541
12 30 01 +07 57 21 A134 8.4 m MESSIER 49
02 40 43 +39 04 17 A135 9.3 m NGC 1023
14 58 48 +53 51 49 A136 12.5m NGC 5820
09 34 18 +10 04 39 A137 13.2m NGC 2914
11 58 57 +25 00 20 A138 14.0m NGC 4015
13 07 38 +26 40 24 A139 15.8m MCG+05-31-135
00 51 19 -07 01 22 A140 12.5m NGC 0275
07 14 57 +73 27 28 A141 12.5m UGC 03730
09 38 00 +02 43 38 A142 13.5m NGC 2936
07 47 13 +39 00 15 A143 13.2m NGC 2444
00 06 42 -13 22 20 A144 14.4m NGC 7828
02 23 27 +41 23 21 A145 13.8m ARP 145
00 06 59 -06 36 20 A146 0 ARP 146
03 11 33 +01 19 07 A147 15.0m IC 0298
11 04 17 +40 48 23 A148 15.4m MCG+07-23-019
12 39 57 +16 33 21 A149 16.0m IC 0803A
23 19 44 +09 31 39 A150 14.1m NGC 7609
11 25 53 +54 20 21 A151 16.8m MRK 0040
12 31 04 +12 21 21 A152 8.6 m MESSIER 87
13 25 45 -43 02 33 A153 6.8 m NGC 5128
03 22 52 -37 10 56 A154 8.2 m NGC 1316
11 23 55 +53 48 21 A155 12.5m NGC 3656
10 43 03 +77 27 25 A156 15.0m UGC 05814
01 24 51 +03 48 33 A157 11.5m NGC 0520
01 25 36 +34 02 33 A158 13.5m NGC 0523
12 52 00 +25 44 22 A159 12.4m NGC 4747
12 14 25 +54 29 20 A160 12.5m NGC 4194
11 42 27 +00 18 20 A161 14.7m UGC 06665
