00 20 40 +59 19 40 IC0010_GL
00 42 40 +29 39 39 IC0043_GL
00 44 15 +01 52 38 IC0049_GL
00 46 39 -13 24 22 IC0051_GL
00 51 45 -12 49 22 IC0056_GL
00 57 00 +61 05 37 IC0059_DN
00 59 48 +60 50 37 IC0063_DN
01 01 11 +47 42 37 IC0065_GL
01 09 03 -15 55 24 IC0079_GL
01 16 22 +04 19 35 IC0089_GL
01 28 09 -02 01 27 IC0119_GL
01 30 03 -06 57 27 IC0127_GL
01 38 56 -17 48 29 IC0146_GL
01 52 51 +61 51 28 IC0166_DN
01 51 23 +21 56 29 IC0167_GL
01 55 09 +00 50 28 IC0172_DN
01 56 15 +01 18 28 IC0173_GL
01 56 33 +01 21 28 IC0175_DN
02 06 22 +09 18 25 IC0198_GL
02 08 40 +06 24 25 IC0208_GL
02 09 15 -07 02 35 IC0209_GL
02 11 22 +03 53 24 IC0211_GL
02 22 14 -20 43 38 IC0223_GL
02 36 49 +38 59 18 IC0239_GL
02 41 21 -06 54 44 IC0249_GL
02 54 04 +12 51 13 IC0267_GL
03 00 04 +02 47 11 IC0277_GL
03 06 32 +42 24 09 IC0284_GL
03 10 42 +61 20 08 IC0289_PN
03 10 38 +40 47 08 IC0292_GL
03 13 04 +04 43 07 IC0302_GL
03 16 26 +40 49 06 IC0309_GL
03 17 02 +41 21 06 IC0310_GL
03 18 26 +41 46 05 IC0312_GL
03 21 20 +41 55 04 IC0313_GL
03 26 43 -21 19 58 IC0324_GL
03 45 51 +76 38 56 IC0334_GL
03 35 42 -34 26 01 IC0335_GL
03 47 17 +68 06 55 IC0342_GL
03 40 20 -18 26 03 IC0343_GL
03 41 56 -18 15 03 IC0346_GL
03 42 45 -04 16 03 IC0347_GL
00 38 16 +32 18 39 IC0348_DN
03 47 49 +35 03 55 IC0351_PN
03 55 18 +25 29 52 IC0353_DN
04 08 19 +69 49 47 IC0356_GL
04 19 19 +28 12 43 IC0359_DN
04 13 18 +25 38 45 IC0360_DN
04 19 25 +58 18 43 IC0361_OC
04 38 08 -09 30 25 IC0382_GL
04 41 57 -07 04 26 IC0387_GL
04 58 10 +78 11 27 IC0391_GL
04 58 32 +68 19 27 IC0396_GL
04 58 26 -07 46 33 IC0398_GL
05 16 32 +34 16 19 IC0405_DN
00 54 16 +33 32 37 IC0410_DN
05 24 07 -17 15 44 IC0416_GL
05 28 26 +34 26 14 IC0417_DN
05 27 44 -12 41 46 IC0418_PN
