00 15 09 -39 09 20 N 55 Gx 8.0
00 47 15 -11 51 22 N 246 Pl 8.0
00 47 21 -20 44 22 N 247 Gx 8.9
00 47 51 -25 15 22 N 253 Gx 7.1
00 53 03 -26 33 22 N 288 Gb 8.1
02 42 57 +00 00 16 N 1068 Gx 8.9
03 17 29 -41 06 55 N 1291 Gx 8.5
03 22 53 -37 10 56 N 1316 Gx 8.9
04 46 18 +19 04 32 N 1647 OC 6.4
04 48 47 +10 56 31 N 1662 OC 6.4
05 03 54 +23 49 24 N 1746 OC 6.0
05 10 59 +16 32 21 N 1807 OC 7.0
05 12 23 +16 42 21 N 1817 OC 7.7
05 14 16 -40 02 40 N 1851 Gb 7.3
05 24 42 -24 32 45 N 1904 Gb 7.8
05 34 48 +22 01 11 N 1952 Nb 8.4
05 35 27 -04 25 49 N 1981 OC 4.6
05 35 39 -05 26 49 N 1976 Nb 4.0
05 46 57 +00 03 06 N 2068 Nb 8.0
06 01 18 +23 18 00 N 2129 OC 6.7
06 05 18 +23 59 58 I 2157 OC 8.4
06 07 48 +24 05 57 N 2158 OC 8.6
06 08 41 +13 56 56 N 2169 OC 5.9
06 09 12 +24 19 56 N 2168 OC 5.1
06 10 06 +20 18 56 N 2175 OC 6.8
06 12 28 +05 26 55 N 2186 OC 8.7
06 14 05 +12 47 54 N 2194 OC 8.5
06 15 55 -18 39 07 N 2204 OC 8.6
06 21 15 -07 17 09 N 2215 OC 8.4
06 26 51 -04 45 12 N 2232 OC 3.9
06 29 58 +06 49 47 N 2236 OC 8.5
06 32 40 +04 51 46 N 2244 OC 4.8
06 34 58 +08 21 45 N 2251 OC 7.3
06 35 16 +05 22 45 N 2252 OC 8.0
06 41 23 +09 52 42 N 2264 +N 3.9
06 47 13 -20 44 20 N 2287 OC 4.5
06 47 51 -03 10 21 N 2286 OC 7.5
06 52 03 +00 27 38 N 2301 OC 6.0
06 52 09 -07 04 23 N 2302 OC 8.9
07 03 26 -08 20 27 N 2323 OC 5.9
07 04 27 +01 02 32 N 2324 OC 8.4
07 06 50 -10 05 29 N 2335 OC 7.2
07 08 32 -10 39 29 N 2343 OC 6.7
07 08 32 -13 10 29 N 2345 OC 7.7
