00 38 16 +31 01 39 B1-2
03 40 19 +31 40 57 B3-4
03 45 07 +32 45 56 B5
03 52 54 +55 55 53 B6
04 15 18 +27 30 44 B7-10
04 10 24 +55 00 46 B8
04 17 24 +55 00 44 B11
04 26 24 +54 10 40 B12
04 20 24 +54 30 42 B13
04 28 52 +46 30 39 B15-16-17
04 29 18 +24 20 39 B18
04 30 23 +52 30 38 B20
04 30 24 +55 10 38 B21
04 30 18 +26 00 38 B14-19-22-220
04 37 31 +29 50 35 B23
04 40 19 +29 40 34 B24
04 49 22 +45 55 31 B25
04 52 19 +30 30 29 B26-27-28
05 03 19 +31 40 25 B29
05 27 17 +12 30 14 B30-31
05 38 17 +13 20 10 B32
05 43 15 -00 59 53 B33
05 25 16 +06 30 15 B35
05 47 16 +07 30 06 B36
06 30 17 +10 39 47 B37-38
06 35 29 +10 29 45 B39
16 13 17 -19 00 45 B40
16 16 18 -20 00 44 B41
16 26 06 -24 13 40 B42
16 27 18 -19 30 40 B43
16 35 18 -24 20 36 B44
16 37 18 -22 10 36 B45
16 54 18 -22 45 28 B46
16 56 54 -22 31 27 B47
16 59 50 -32 50 26 B49
17 01 42 -22 06 25 B51
17 05 19 -32 02 24 B55
17 06 19 -32 05 23 B56
17 05 24 -22 50 24 B57
17 08 19 -27 20 23 B59
17 12 30 -20 18 21 B61
17 13 18 -20 50 20 B62
17 16 18 -21 20 19 B63
17 14 36 -18 20 20 B64
17 17 01 -26 35 19 B65
17 17 19 -26 49 19 B66
17 19 48 -21 50 18 B67
17 18 19 -26 45 18 B67
17 19 54 -23 41 18 B68
17 20 18 -23 50 17 B69
17 20 48 -23 55 17 B70
17 20 24 -23 52 17 B71
17 21 18 -23 30 17 B72
17 22 18 -22 58 17 B74
17 22 18 -21 50 17 B75
17 22 18 -24 20 17 B73-76
17 25 18 -24 00 15 B77-269
17 30 19 -25 40 13 B78
17 35 18 -19 38 11 B79
17 30 18 -21 00 13 B80
16 47 17 -16 00 31 B81-82
17 37 42 -19 30 10 B83
17 36 18 -24 05 10 B83
17 54 54 -17 40 02 B84
17 43 48 -20 10 07 B84
17 59 55 -27 50 00 B86
18 01 20 -32 40 00 B87
18 07 18 -23 39 57 B90
18 12 54 -18 11 54 B92
18 14 18 -18 04 54 B93
18 23 17 -11 49 50 B95
18 22 17 -10 39 50 B94-96
18 30 17 -09 59 47 B97
18 30 37 -26 02 47 B98
18 30 48 -21 34 47 B99
18 30 16 -09 09 47 B100-101
18 35 35 -13 49 45 B102
18 36 46 -06 39 44 B103
18 44 46 -04 24 41 B104
18 45 16 -06 54 40 B105
18 47 16 -04 49 40 B106-107-110
18 45 16 -07 49 40 B109
18 50 16 -04 59 38 B108-111-117-119
18 47 16 -03 44 40 B113
18 50 28 -06 59 38 B114
18 50 46 -06 39 38 B115
18 50 46 -07 09 38 B116
18 51 16 -07 21 38 B117-118
18 55 16 -03 59 36 B119-120-121
18 54 22 -04 49 37 B122
18 55 28 -04 29 36 B123
18 56 46 -04 34 36 B126
18 59 10 -05 29 35 B127
19 00 14 +12 45 26 B128
18 59 46 -05 19 34 B129
18 59 16 -05 39 34 B130
19 00 16 -04 34 34 B131
19 01 46 -04 32 33 B132-328
19 03 40 -06 54 33 B133
19 04 16 -06 14 32 B134
19 05 04 -03 59 32 B135-136
19 13 16 -01 19 29 B137
19 11 45 +00 45 31 B138
19 15 46 -01 32 28 B139
19 17 15 +05 00 33 B140
19 18 15 +01 30 33 B141
19 36 38 +10 22 41 B142
19 38 32 +10 50 42 B143
20 00 11 +36 00 50 B144
20 02 35 +37 38 51 B145
20 03 11 +35 55 51 B146
20 05 11 +35 05 52 B147
20 48 19 +59 41 07 B148-149
20 50 07 +60 01 08 B150
21 06 08 +56 21 13 B151
20 55 11 +43 41 09 B152
20 55 10 +45 39 09 B153
21 20 09 +56 21 17 B154
21 30 41 +44 51 20 B155-156
21 30 10 +54 11 20 B157
21 35 42 +43 01 21 B159
21 37 10 +56 01 21 B160
21 40 16 +56 31 22 B161
21 41 10 +56 06 22 B162
21 41 10 +56 41 22 B163
21 45 11 +50 51 23 B164
21 49 09 +59 54 24 B165-166-167
21 51 30 +46 59 25 B168
21 58 10 +58 51 26 B169
21 56 10 +58 54 26 B170
