21 02 28 +07 12 00 7.1,7.1 2.9 215 2 Equ
21 03 18 +01 33 06 6.7,7.3 1.3 119 HD 200375
21 11 14 +09 34 14 7.8,8.0 2.8 80 HD 201686
21 39 47 +00 04 28 7.1,7.7 0.53 273 24 Aqr
22 02 42 -16 56 27 7.1v,7. 2 3.8 246 29 Aqr = DX Aqr
22 07 22 +00 35 40 7.6,8.0 2.5 97 HD 209965
22 26 50 -16 42 58 6.2,6.4 1.7 6 53 Aqr
22 29 05 +00 02 44 4.3,4.5 1.9 188 zeta Aqr
22 43 17 +47 11 41 6.2,7.0 0.5 303 HD 215242
23 12 16 -11 54 22 7.2,7.2 3.5 278 HD 218928
23 34 12 +31 21 10 6.0,6.0 0.55 94 72 Peg
23 59 44 +33 45 04 6.5,6.7 2 328 HD 224635/6
