18 31 43 -32 20 46 M_69____GLOBUL
18 43 38 -32 17 40 M_70____GLOBUL
18 55 31 -30 27 36 M_54____GLOBUL
19 40 24 -30 55 17 M_55____GLOBUL
21 44 26 +09 53 53 EPSIL_PEGASUS_ENIF
21 30 14 +12 11 20 M_15____GLOBUL
20 06 24 -21 54 08 M_75____GLOBUL
20 53 40 -12 31 51 M_72____GLOBUL
20 59 15 -12 35 49 M_73____STARS:
21 31 49 -05 51 10 BET_AQU_SADEL_SUUD
21 33 44 -00 48 39 M_2_____GLOBUL
21 40 35 -23 09 37 M_30____GLOBUL
03 02 32 +04 06 33 ALPHA_CETUS_MENKAR
