00 59 03 -16 27 23 NGC 333A GALXY16.0
00 59 21 -18 14 23 NGC 335 GALXY14.3
01 00 03 -07 33 23 NGC 337 GALXY11.6
01 00 51 -06 51 23 NGC 340 GALXY14.0
01 01 03 -09 09 23 NGC 341A GALXY13.0
01 01 03 -06 45 23 NGC 342 GALXY14.5
01 01 03 -23 12 23 NGC 343 1STAR
01 01 09 -09 09 23 NGC 341B GALXY15.0
01 01 39 -06 52 23 NGC 345 GALXY13.5
01 01 39 -06 47 23 NGC 347 GALXY14.5
01 01 51 -23 12 23 NGC 344 GALXY
01 02 03 -07 34 23 NGC 337A GALXY12.2
01 02 09 -06 47 23 NGC 349 GALXY13.5
01 02 15 -06 47 23 NGC 350 GALXY15.0
01 02 21 -01 53 23 NGC 351 GALXY13.2
01 02 27 -04 13 23 NGC 352 GALXY12.6
01 02 51 -01 54 24 NGC 353 GALXY13.6
01 03 27 -06 18 24 NGC 355 GALXY15.0
01 03 33 -06 58 24 NGC 356 GALXY13.5
01 03 39 -06 19 24 NGC 357 GALXY12.0
01 04 39 -00 59 24 NGC 359 GALXY13.3
01 04 51 -01 05 24 NGC 364 GALXY13.1
01 05 03 +02 08 36 IC 1613 GALXY09.2
01 05 15 -17 45 24 NGC 369 GALXY13.8
01 05 21 -06 11 24 New 1 GALXY11.8
01 06 03 -12 05 24 NGC 367 GALXY
01 06 21 -16 32 24 NGC 363 GALXY15.0
01 06 33 -20 01 24 NGC 377 3STAR
01 07 45 +00 57 36 NGC 391 GALXY13.4
01 08 57 +01 40 36 UGC 711 GALXY14.0
01 10 33 -19 59 24 NGC 412 NONEX
01 11 21 -18 08 25 NGC 417 GALXY14.1
01 12 03 -00 37 25 IC 1639 GALXY13.6
01 12 51 -02 45 25 NGC 413 GALXY16.0
01 13 09 -00 15 25 NGC 426 GALXY12.9
01 13 15 +01 00 35 NGC 428 GALXY11.5
01 13 15 -00 18 25 NGC 429 GALXY13.4
01 13 21 -00 13 25 NGC 430 GALXY12.5
01 14 15 +02 05 35 NGC 435 GALXY14.2
01 14 57 -00 59 25 NGC 442 GALXY13.4
01 15 09 +01 57 35 NGC 445 GALXY14.1
01 15 33 -01 35 25 NGC 448 GALXY12.1
01 15 45 -00 50 25 NGC 450 GALXY11.5
01 20 26 -22 20 26 NGC 478 GALXY15.0
01 21 09 -09 50 26 NGC 480 NONEX
01 21 15 -09 10 26 NGC 481 GALXY14.0
01 22 03 -16 19 26 NGC 487 GALXY14.0
01 22 27 +00 58 34 NGC 493 GALXY12.5
01 22 39 -00 51 26 NGC 497 GALXY13.0
01 24 45 -01 36 27 NGC 519 GALXY14.3
01 24 51 +01 45 33 NGC 521 GALXY11.7
01 24 51 -19 52 27 NGC 540 GALXY
01 24 57 -01 32 27 NGC 530 GALXY13.0
01 25 33 -18 07 27 NGC 539 GALXY13.5
01 25 45 -01 30 27 NGC 538 GALXY13.7
01 25 51 +01 47 33 NGC 533 GALXY11.4
01 25 51 -01 21 27 NGC 535 GALXY13.8
01 26 03 -01 19 27 NGC 541 GALXY12.1
01 26 09 -01 14 27 NGC 543 GALXY13.1
01 26 15 -01 18 27 NGC 545 GALXY12.2
01 26 15 -01 18 27 NGC 547A GALXY
01 26 21 -01 18 27 NGC 547 GALXY12.2
01 26 21 -01 11 27 NGC 548 GALXY13.7
01 26 33 -06 02 27 MCG -01-04GALXY12.5
01 26 45 -01 36 27 NGC 557 GALXY13.5
01 26 57 +02 03 33 NGC 550 GALXY12.7
01 27 09 -10 13 27 NGC 567 GALXY14.0
01 27 14 -22 45 27 NGC 556 GALXY14.4
01 27 21 -18 36 27 NGC 563 GALXY13.3
01 27 26 -22 43 27 NGC 555 GALXY14.1
01 27 26 -22 41 27 NGC 554 GALXY15.0
01 27 33 -01 56 27 NGC 558 GALXY14.3
01 27 45 -01 53 27 NGC 560 GALXY13.0
01 28 03 -01 51 27 NGC 564 GALXY12.5
01 28 27 -01 15 27 NGC 565 GALXY13.5
01 29 15 -00 55 27 NGC 570 GALXY12.8
01 29 57 -18 17 27 NGC 583 GALXY14.1
01 30 03 -01 13 27 UGC 1072 GALXY14.0
01 30 38 -22 38 27 NGC 578 GALXY10.9
01 30 57 -01 57 28 NGC 577 GALXY12.9
01 31 21 -01 57 28 NGC 580 NONEX
01 31 33 -06 49 28 NGC 584 GALXY10.5
01 31 51 -06 52 28 NGC 586 GALXY13.2
01 31 57 -00 53 28 NGC 585 GALXY13.1
01 32 33 -12 19 28 NGC 593 GALXY14.0
01 32 51 -12 00 28 NGC 589 GALXY14.0
01 33 03 -06 59 28 NGC 596 GALXY10.9
01 33 03 -12 09 28 NGC 599 GALXY13.0
01 33 15 -16 30 28 NGC 594 GALXY14.0
01 33 33 -07 17 28 NGC 600 GALXY12.4
01 33 33 -12 10 28 NGC 601 GALXY
01 34 09 -09 45 28 NGC 617 GALXY15.0
01 34 32 -20 07 28 NGC 610 NONEX
01 34 32 -20 06 28 NGC 611 NONEX
01 34 39 -07 23 28 NGC 607 NONEX
01 35 21 -07 17 28 NGC 615 GALXY11.6
01 35 57 -09 58 28 NGC 624 GALXY14.0
01 36 15 +00 42 32 NGC 622 GALXY12.9
01 38 32 -19 54 29 NGC 635 NONEX
01 38 56 -17 48 29 NGC 648 GALXY14.0
01 39 21 -07 27 29 NGC 636 GALXY11.5
01 39 33 -09 21 29 NGC 640 GALXY15.0
01 40 03 -09 11 29 NGC 647 GALXY14.0
01 40 15 -09 12 29 NGC 649 GALXY15.0
01 42 15 -13 02 30 NGC 655 GALXY14.0
01 45 20 -22 54 30 NGC 667 GALXY14.2
01 48 02 -16 41 31 NGC 690 GALXY14.2
01 49 15 -14 57 31 NGC 682 GALXY13.0
01 49 21 -10 24 31 NGC 681 GALXY12.0
01 50 51 -12 01 31 NGC 699 GALXY14.0
01 51 15 -09 40 31 NGC 701 GALXY12.2
01 51 27 -08 28 31 NGC 707 GALXY14.0
01 51 33 -04 01 31 NGC 702 GALXY13.1
01 52 50 -16 29 32 NGC 725 GALXY14.0
01 53 15 -13 42 32 NGC 720 GALXY10.2
01 53 21 -12 51 32 NGC 715 GALXY15.0
01 54 08 -23 44 32 NGC 723 GALXY12.4
01 54 44 -16 41 32 NGC 756 GALXY15.0
01 55 02 -17 01 32 NGC 734 GALXY
01 55 15 -08 59 32 NGC 731 GALXY12.1
01 55 21 -09 03 32 NGC 713 GALXY15.0
01 55 51 -10 47 32 NGC 726 GALXY14.0
01 56 15 -03 04 32 NGC 758 GALXY
01 56 27 -09 02 32 NGC 755 GALXY12.6
01 56 27 -09 02 32 NGC 757 NONEX
01 56 27 -09 02 32 NGC 763 NONEX
01 56 39 -04 27 32 NGC 748 GALXY12.6
01 57 21 -05 24 33 NGC 762 GALXY13.5
01 57 26 -16 00 33 NGC 764 2STAR
01 57 39 -09 26 33 NGC 747 GALXY
01 58 57 +00 32 27 NGC 768 GALXY13.2
01 59 09 -09 33 33 NGC 767 GALXY14.0
01 59 15 -11 29 33 NGC 773 GALXY14.0
01 59 57 -05 56 33 NGC 779 GALXY11.2
02 01 15 -06 47 33 NGC 788 GALXY12.1
02 01 15 -08 58 33 NGC 787 GALXY13.0
02 01 45 -05 21 34 NGC 790 GALXY13.5
02 02 33 +00 07 26 NGC 799 GALXY13.0
02 02 33 +00 09 26 NGC 800 GALXY13.7
02 03 08 -14 36 34 NGC 814 GALXY16.0
02 03 08 -14 40 34 NGC 815 GALXY16.0
02 03 51 -09 54 34 NGC 806 GALXY14.0
02 04 08 -23 16 34 NGC 808 GALXY13.5
02 04 39 -08 41 34 NGC 809 GALXY14.0
02 04 57 -10 04 34 NGC 811 GALXY14.0
02 08 46 +06 20 25 NGC 825 GALXY13.2
02 08 51 -07 46 35 NGC 829 GALXY14.0
02 09 04 +07 59 25 NGC 827 GALXY12.7
02 09 15 -07 44 35 NGC 830 GALXY14.0
02 09 39 -10 06 35 NGC 833 GALXY12.7
02 09 45 -10 06 35 NGC 835 GALXY12.1
02 09 46 +06 07 25 NGC 831 GALXY15.0
02 09 51 -10 07 35 NGC 838 GALXY12.9
02 09 57 -10 10 35 NGC 839 GALXY13.1
02 10 03 -07 44 35 NGC 842 GALXY12.7
02 10 28 +07 51 24 NGC 840 GALXY13.4
02 10 26 -22 17 36 NGC 849 GALXY14.3
02 10 28 +06 04 24 NGC 844 GALXY15.0
02 10 33 -10 18 36 NGC 848 GALXY13.0
02 10 38 -22 24 36 NGC 837 GALXY14.0
02 10 44 -22 02 36 NGC 836 GALXY13.3
02 11 27 -01 28 36 NGC 850 GALXY12.9
02 11 28 +03 48 24 NGC 851 GALXY13.5
02 12 03 -09 16 36 NGC 853 GALXY13.0
02 12 50 -22 25 36 NGC 858 GALXY13.7
02 13 51 -00 42 36 NGC 856 GALXY13.2
02 14 09 -00 42 36 NGC 859 NONEX
02 14 51 -00 44 37 NGC 863 GALXY12.9
02 15 40 +06 01 23 NGC 864 GALXY10.9
02 15 38 -17 46 37 NGC 872 GALXY13.8
02 16 03 -00 58 37 NGC 866 NONEX
02 16 09 +01 04 23 NGC 867 NONEX
02 16 15 -00 42 37 NGC 868 GALXY13.9
02 16 20 -23 16 37 NGC 874 GALXY14.2
02 16 51 -11 18 37 NGC 873 GALXY13.0
02 17 03 -08 56 37 NGC 879 GALXY
02 17 21 +01 15 23 NGC 875 GALXY12.9
02 18 02 -23 20 37 NGC 878 GALXY13.7
02 18 21 -04 11 37 NGC 880 GALXY
02 18 51 -06 33 38 NGC 881 GALXY12.4
02 19 15 -06 43 38 NGC 883 GALXY13.0
02 19 50 -16 02 38 NGC 887 GALXY13.0
02 20 03 -00 58 38 NGC 885 NONEX
02 20 56 -23 05 38 NGC 892 GALXY
02 21 45 -05 29 38 NGC 895 GALXY11.7
02 21 45 -05 28 38 NGC 894 NONEX
02 22 14 -20 46 38 NGC 899 GALXY12.6
02 22 38 -16 38 39 NGC 902 GALXY14.0
02 22 51 -08 41 39 NGC 905 GALXY
02 23 14 -20 40 39 NGC 907 GALXY12.6
02 23 20 -21 11 39 NGC 908 GALXY10.2
02 26 27 -00 17 39 NGC 926 GALXY13.3
02 26 50 -15 48 40 NGC 921 GALXY14.0
02 26 56 -14 28 40 NGC 944 GALXY14.0
02 27 33 -12 03 40 NGC 929 GALXY15.0
02 27 51 -00 12 40 NGC 934 GALXY13.1
02 27 57 -01 07 40 NGC 936 GALXY10.1
02 28 45 -01 06 40 NGC 941 GALXY12.4
02 28 51 -10 29 40 NGC 945 GALXY12.1
02 28 50 -19 01 40 NGC 947 GALXY12.6
02 28 57 -10 28 40 NGC 948 GALXY14.0
02 29 02 -22 18 40 NGC 951 GALXY14.6
02 29 15 -10 47 40 NGC 943 GALXY14.0
02 29 27 -10 47 40 NGC 942 GALXY14.0
02 29 27 -10 59 40 NGC 950 GALXY14.0
02 30 51 -01 04 41 NGC 955 GALXY12.0
02 30 51 -02 53 41 NGC 958 GALXY12.1
02 30 51 -04 11 41 NGC 963 GALXY
02 31 27 -06 52 41 NGC 961 NONEX
02 31 51 -09 15 41 NGC 960 GALXY14.0
02 32 02 -19 51 41 NGC 966 GALXY13.3
02 32 26 -17 11 41 NGC 967 GALXY12.5
02 32 44 -18 37 41 NGC 965 GALXY14.2
02 33 09 -10 55 41 NGC 981 GALXY14.0
02 33 15 -10 42 41 NGC 977 GALXY13.0
02 33 28 +09 38 19 NGC 975 GALXY13.1
02 34 02 -16 28 42 NGC 989 GALXY15.0
02 34 45 -08 44 42 NGC 985 GALXY13.4
02 35 27 -09 18 42 NGC 988 GALXY11.0
02 35 51 -07 06 42 NGC 991 GALXY11.7
02 36 58 +02 04 18 NGC 993 GALXY13.6
02 36 58 +02 04 18 NGC 994 NONEX
02 37 28 +07 19 18 NGC 997 GALXY14.5
02 37 28 +07 27 18 NGC 998 GALXY15.5
02 37 45 -11 00 43 NGC 1010 GALXY14.0
02 37 45 -11 00 43 NGC 1006 GALXY
02 37 52 +01 58 17 NGC 1004 GALXY12.7
02 37 51 -10 59 43 NGC 1011 GALXY15.0
02 38 03 -11 29 43 NGC 1013 GALXY14.0
02 38 03 -10 59 43 NGC 1017 GALXY14.0
02 38 04 +02 09 17 NGC 1007 GALXY15.5
02 38 03 -09 30 43 NGC 1014 2STAR
02 38 09 -01 49 43 UGC 2119 GALXY13.5
02 38 10 +02 05 17 NGC 1008 GALXY13.6
02 38 15 -01 49 43 NGC 1037 GALXY14.5
02 38 15 -09 32 43 NGC 1018 GALXY15.0
02 38 27 -01 18 43 NGC 1015 GALXY12.1
02 38 26 -15 47 43 NGC 1034 GALXY14.0
02 38 34 +02 08 17 NGC 1016 GALXY11.6
02 38 34 +02 19 17 NGC 1009 GALXY14.4
02 38 40 +01 55 17 NGC 1019 GALXY13.5
02 38 45 -06 38 43 NGC 1022 GALXY11.3
02 38 58 +02 14 17 NGC 1020 GALXY14.1
02 39 04 +02 13 17 NGC 1021 GALXY14.2
02 39 34 +06 33 17 NGC 1026 GALXY12.6
02 39 39 +01 06 17 NGC 1032 GALXY11.6
02 39 39 -08 05 43 NGC 1035 GALXY12.2
02 40 21 +01 31 17 NGC 1038 GALXY13.4
02 40 21 -08 46 43 NGC 1033 GALXY14.0
02 40 33 -05 26 43 NGC 1041 GALXY14.0
02 40 39 -08 25 43 NGC 1042 GALXY11.0
02 40 39 -11 16 43 NGC 1045 GALXY13.0
02 40 51 -08 31 43 NGC 1048B GALXY14.0
02 40 51 -08 31 43 NGC 1048A GALXY14.5
02 40 51 -08 08 43 NGC 1047 GALXY15.0
02 40 57 +01 21 17 NGC 1043 GALXY15.5
02 41 09 -06 56 43 NGC 1051 GALXY13.0
02 41 15 -08 13 44 NGC 1052 GALXY10.5
02 41 16 +08 44 16 NGC 1044 GALXY13.2
02 41 22 +08 43 16 NGC 1046 GALXY13.8
02 42 03 +00 27 16 NGC 1055 GALXY10.6
02 42 21 -05 32 44 NGC 1063 GALXY14.0
02 42 20 -15 04 44 NGC 1065 GALXY14.0
02 42 27 -09 20 44 NGC 1064 GALXY14.0
02 42 57 -00 00 44 NGC 1068 GALXY08.9
02 43 03 -08 16 44 NGC 1069 GALXY14.5
02 43 15 -08 44 44 NGC 1071 GALXY15.0
02 43 34 +04 59 16 NGC 1070 GALXY11.9
02 43 45 +00 19 16 NGC 1072 GALXY13.4
02 43 57 +01 23 16 NGC 1073 GALXY11.0
02 43 56 -14 43 44 NGC 1076 GALXY13.0
02 43 56 -16 16 44 NGC 1074 GALXY14.0
02 43 56 -16 09 44 NGC 1075 GALXY15.0
02 44 27 -09 24 44 NGC 1078 GALXY15.0
02 45 27 -04 42 45 NGC 1080 GALXY13.5
02 46 40 +03 37 15 NGC 1085 GALXY12.3
02 46 45 -00 28 45 NGC 1087 GALXY10.9
02 46 51 -00 13 45 NGC 1090 GALXY11.8
02 47 45 -00 16 45 NGC 1094 GALXY12.5
02 47 52 +04 39 15 NGC 1095 GALXY13.3
02 48 16 +03 54 14 UGC 2275 GALXY13.4
02 48 34 +04 35 14 NGC 1101 GALXY13.0
02 48 57 -00 15 46 NGC 1104 GALXY13.6
02 49 28 +02 09 14 UGC 2302 GALXY13.2
02 49 34 +08 07 14 NGC 1107 GALXY12.2
02 52 52 +06 04 13 NGC 1128 NONEX
02 54 16 +02 58 13 NGC 1137 GALXY12.4
02 55 27 -00 09 48 NGC 1144 GALXY12.9
02 55 27 -00 09 48 NGC 1143 GALXY14.0
02 55 27 +00 29 12 NGC 1141 NONEX
02 55 27 +00 29 12 NGC 1142 NONEX
02 57 39 -00 16 48 NGC 1149 GALXY14.0
02 57 52 +06 03 12 Abell 400GALCL13.9
02 58 22 +03 23 11 NGC 1153 GALXY12.4
03 00 04 +02 47 11 IC 277 GALXY13.1
03 04 03 -01 03 50 NGC 1194 GALXY12.9
03 07 09 -00 45 51 NGC 1211 GALXY12.3
03 08 40 +04 08 08 NGC 1218 GALXY12.7
03 08 46 +02 10 08 NGC 1219 GALXY13.0
03 14 22 +01 29 06 NGC 1251 2STAR
03 14 40 +02 43 06 NGC 1254 GALXY14.1
03 18 15 -00 08 55 NGC 1280 GALXY13.4
23 59 51 -18 49 20 NGC 7807 GALXY
